"STATION","NAME","DATE","TMAX","TMIN"
"BOM00026850","MINSK, BO","2022-05-01","60","30"
"BOM00026850","MINSK, BO","2022-05-03","62","33"
"BOM00026850","MINSK, BO","2022-05-05","57","25"
"BOM00026850","MINSK, BO","2022-05-06","66","32"
"BOM00026850","MINSK, BO","2022-05-09","58","38"
"BOM00026850","MINSK, BO","2022-05-10","61","29"
"BOM00026850","MINSK, BO","2022-05-11","70","32"
"BOM00026850","MINSK, BO","2022-05-13","62","46"
"BOM00026850","MINSK, BO","2022-05-16","58","42"
"BOM00026850","MINSK, BO","2022-05-19","65","35"
"BOM00026850","MINSK, BO","2022-05-23","63","37"
"BOM00026850","MINSK, BO","2022-05-24","69","37"
"BOM00026850","MINSK, BO","2022-05-25","73","40"
"BOM00026850","MINSK, BO","2022-05-31","67","47"
